"","OverallQual","TotalSF","logSalePrice","BldgType","LotArea","GrLivArea","TotRmsAbvGrd","BedroomAbvGr","salePriceCategory","logTotalSF"
"99",5,835,11.3265958867787,"1Fam",10625,835,5,2,"Low",6.72743172485086
"100",4,1225,11.7671800113095,"1Fam",9320,1225,6,3,"Low",7.11069612297883
"101",6,1610,12.2307652581205,"1Fam",10603,1610,6,3,"High",7.38398945797851
"102",6,1732,12.0895388292742,"1Fam",9206,1732,7,3,"Medium",7.45703208912238
"103",5,1535,11.6865762053166,"Duplex",7018,1535,8,4,"Low",7.3362856600213
"104",7,1226,12.2005574648421,"1Fam",10402,1226,6,3,"High",7.11151211649616
"105",7,1818,12.0406082058026,"1Fam",7758,1818,7,4,"Medium",7.50549227473742
"106",8,1992,12.4292161968444,"1Fam",9375,1992,9,3,"High",7.59689443814454
"107",4,1047,11.5129254649702,"1Fam",10800,1047,6,2,"Low",6.95368421087054
"108",5,789,11.6526874073454,"1Fam",6000,789,5,2,"Low",6.67076632084587
"109",5,1517,11.6526874073454,"1Fam",8500,1517,7,3,"Low",7.32448997934853
"110",6,1844,12.1547793511426,"1Fam",11751,1844,7,3,"High",7.51969240411654
"111",6,1855,11.8270060112765,"1Fam",9525,1855,7,4,"Low",7.52563997504154
"112",7,1430,12.1007121298723,"1Fam",7750,1430,7,3,"Medium",7.26542972325395
"113",7,2696,12.8583197035179,"1Fam",9965,2696,10,4,"High",7.8995244720322
"114",6,2259,12.2876526325226,"1Fam",21000,2259,7,3,"High",7.722677516468
"115",6,2320,12.4665119815881,"1Fam",7259,2320,9,3,"High",7.74932246466036
"116",6,1458,12.0782392740203,"TwnhsE",3230,1458,5,2,"Medium",7.2848209125686
"117",5,1092,11.8422292121128,"1Fam",11616,1092,6,3,"Medium",6.99576615630485
"118",5,1125,11.9511803959014,"1Fam",8536,1125,5,2,"Medium",7.02553831463852
"119",7,3222,12.6760762747759,"1Fam",12376,3222,11,5,"High",8.07775756373692
"120",6,1456,12.0075607293375,"1Fam",8461,1456,8,3,"Medium",7.28344822875663
"121",6,988,12.1007121298723,"1Fam",21453,988,4,1,"Medium",6.89568269774787
"122",4,1123,11.5129254649702,"1Fam",6060,1123,4,3,"Low",7.02375895473844
"123",6,1080,11.8204101647182,"1Fam",9464,1080,5,3,"Low",6.98471632011827
"124",6,1199,11.944058319827,"TwnhsE",7892,1199,5,2,"Medium",7.08924315502751
"125",6,1586,12.106252310248,"1Fam",17043,1586,7,3,"Medium",7.36897040219479
"126",6,520,11.3445068133453,"2fmCon",6780,754,5,2,"Low",6.25382881157547
"127",6,958,11.7597855429018,"TwnhsE",4928,958,5,2,"Low",6.86484777797086
"128",5,840,11.3736633976367,"1Fam",4388,840,5,3,"Low",6.73340189183736
"129",6,1348,11.9511803959014,"1Fam",7590,1348,6,3,"Medium",7.20637729147225
"130",5,1053,11.9183905730784,"1Fam",8973,1053,6,3,"Medium",6.95939851213398
"131",7,2157,12.3282902782544,"1Fam",14200,2157,8,4,"High",7.67647364638916
"132",6,2054,12.4049235042753,"1Fam",12224,2054,7,3,"High",7.6275443904885
"133",5,1327,11.9233781145894,"1Fam",7388,1327,7,3,"Medium",7.19067603433221
"134",8,1296,12.3013828253345,"1Fam",6853,1296,6,2,"High",7.16703787691222
"135",5,1721,12.1007121298723,"1Fam",10335,1721,7,3,"Medium",7.45066079621154
"136",7,1682,12.0668105781967,"1Fam",10400,1682,7,3,"Medium",7.42773884053289
"137",5,1214,11.870599909242,"1Fam",10355,1214,5,3,"Medium",7.10167597161944
"138",7,1959,12.0494188354848,"Duplex",11070,1959,9,5,"Medium",7.58018941794454
"139",8,1852,12.3458345879053,"1Fam",9066,1852,7,3,"High",7.52402141520612
"140",6,1764,12.3523351525084,"1Fam",15426,1764,7,3,"High",7.47533923656674
"141",4,864,11.6526874073454,"1Fam",10500,864,5,3,"Low",6.76157276880406
"142",7,1734,12.4684369099977,"1Fam",11645,1734,7,3,"High",7.45818615734049
"143",5,1385,12.0197430673387,"1Fam",8520,1385,6,4,"Medium",7.23345541862144
"144",7,1501,12.2258752728264,"1Fam",10335,1501,6,3,"High",7.31388683163346
"145",5,1728,11.7360690162844,"Duplex",9100,1728,10,6,"Low",7.454719949364
"146",6,1709,11.7752897294377,"Twnhs",2522,1709,7,3,"Low",7.44366368311559
"147",5,875,11.5617156291397,"1Fam",6120,875,5,2,"Low",6.77422388635761
"148",7,2035,12.3126823805884,"1Fam",9505,2035,8,3,"High",7.6182510978767
"149",7,1080,11.8565151693603,"1Fam",7500,1080,6,3,"Medium",6.98471632011827
"150",5,1344,11.6526874073454,"1Fam",6240,1344,7,3,"Low",7.20340552108309
"151",5,969,11.7117763237154,"1Fam",10356,969,5,3,"Low",6.87626461189077
"152",8,1710,12.8277291949399,"1Fam",13891,1710,6,2,"High",7.44424864949671
"153",6,1993,12.1547793511426,"1Fam",14803,1993,8,4,"High",7.59739632021279
"154",6,1252,12.3673407931263,"1Fam",13500,1252,4,1,"High",7.13249755166004
"155",6,1200,11.7360690162844,"1Fam",11340,1200,7,4,"Low",7.09007683577609
"156",6,1096,11.2772031314492,"1Fam",9600,1096,5,2,"Low",6.99942246750796
"157",5,1040,11.6036798282387,"1Fam",7200,1040,5,2,"Low",6.94697599213542
"158",8,1968,12.5043236693312,"1Fam",12003,1968,8,4,"High",7.5847730776122
"159",7,1947,12.4486265903642,"1Fam",12552,1947,8,3,"High",7.5740450053722
"160",7,2462,12.6760762747759,"1Fam",19378,2462,9,4,"High",7.8087293067444
"161",6,1232,11.9984332807519,"1Fam",11120,1232,6,3,"Medium",7.11639414409346
"162",9,2668,12.9299914847569,"1Fam",13688,2668,10,3,"High",7.88908440703551
"163",7,1541,12.3013828253345,"1Fam",12182,1541,7,3,"High",7.34018683532012
"164",4,882,11.5444241320296,"1Fam",5500,882,4,1,"Low",6.78219205600679
"165",6,1616,11.9316357998284,"1Fam",5400,1616,5,3,"Medium",7.38770923908104
"166",5,1355,11.7558716435806,"2fmCon",10106,1355,6,4,"Low",7.2115567333138
"167",5,1867,12.1547793511426,"1Fam",10708,1867,7,2,"High",7.53208814354172
"168",8,2161,12.6934986204678,"1Fam",10562,2161,8,3,"High",7.67832635650689
"169",7,1720,12.1199699464768,"1Fam",8244,1720,7,3,"Medium",7.4500795698075
"170",8,1707,12.3371009079366,"1Fam",16669,1707,6,2,"High",7.44249272279444
"171",5,854,11.7636841833174,"1Fam",12358,1382,7,2,"Low",6.74993119378857
"172",6,1656,12.2783933071098,"1Fam",31770,1656,7,3,"High",7.4121603349452
"173",7,1767,12.3842188309136,"TwnhsE",5306,1767,5,2,"High",7.4770384723197
"174",6,1362,12.0015054797889,"1Fam",10197,1362,6,3,"Medium",7.21670948670946
"175",6,1651,12.1226910365911,"1Fam",12416,1651,7,3,"Medium",7.40913644392013
"176",6,2158,12.4008167223227,"1Fam",12615,2158,7,4,"High",7.67693714581808
"177",6,2060,12.2596134124582,"1Fam",10029,2060,8,4,"High",7.63046126178363
"178",5,1920,12.0581525154536,"1Fam",13650,1920,8,4,"Medium",7.56008046502183
"179",9,2234,13.1260306447518,"1Fam",17423,2234,9,1,"High",7.71154897962915
"180",5,968,11.5129254649702,"1Fam",8520,968,5,2,"Low",6.87523208727658
"181",6,1525,12.083905011556,"Twnhs",2117,1525,5,3,"Medium",7.32974968904151
"182",7,1802,12.2065725205718,"1Fam",7588,1802,9,4,"High",7.49665243816828
"183",5,1340,11.6952470217642,"1Fam",9060,1340,7,3,"Low",7.20042489294496
"184",7,2082,12.2060726455302,"1Fam",11426,2082,6,3,"High",7.64108424917491
"185",5,1252,11.7519423654407,"1Fam",7438,1252,5,3,"Low",7.13249755166004
"186",10,3036,13.0710700830168,"1Fam",22950,3608,12,4,"High",8.01829613851552
"187",7,1217,12.0610468734799,"1Fam",9947,1217,6,3,"Medium",7.10414409298753
"188",5,1512,11.8130300574206,"1Fam",10410,1656,8,3,"Low",7.32118855673948
"189",5,1224,11.9403933925547,"Duplex",7018,1224,6,2,"Medium",7.10987946307227
"190",8,1593,12.563747089802,"TwnhsE",4923,1593,5,0,"High",7.37337430991005
"191",8,2727,12.6603279178078,"1Fam",10570,2727,10,3,"High",7.91095738284559
"192",7,1479,12.1226910365911,"1Fam",7472,1479,7,4,"Medium",7.2991214627108
"193",7,1431,12.1652506510099,"1Fam",9017,1431,6,3,"High",7.26612877955645
"194",7,1709,11.7752897294377,"Twnhs",2522,1709,7,3,"Low",7.44366368311559
"195",5,864,11.7519423654407,"1Fam",7180,864,5,3,"Low",6.76157276880406
"196",6,1456,11.9083402372249,"Twnhs",2280,1456,7,3,"Medium",7.28344822875663
"197",7,1726,12.6503481262032,"1Fam",9416,1726,8,3,"High",7.45356187164337
"198",8,2720,12.3673407931263,"1Fam",25419,3112,8,4,"High",7.90838715929004
"199",6,1858,11.5521461781235,"1Fam",5520,2229,8,5,"Low",7.52725591937378
"200",8,1713,12.5241626741533,"1Fam",9591,1713,7,3,"High",7.44600149832412
"201",4,1121,11.8493977015914,"1Fam",8546,1121,5,2,"Medium",7.02197642307216
"202",6,1279,12.0523385455881,"1Fam",10125,1279,6,3,"Medium",7.15383380157884
"203",6,1310,11.6262541502772,"1Fam",7000,1310,6,2,"Low",7.1777824161952
"204",6,848,11.9117015849276,"TwnhsE",4438,848,3,1,"Medium",6.7428806357919
"205",5,1284,11.6082356447746,"1Fam",3500,1284,5,2,"Low",7.15773548424991
"206",7,1442,12.1034860567551,"1Fam",11851,1442,5,3,"Medium",7.27378631784489
"207",5,1696,11.8768738928755,"1Fam",13673,1696,8,3,"Medium",7.43602781635185
"208",4,1100,11.8565151693603,"1Fam",12493,1100,6,3,"Medium",7.00306545878646
"209",7,2062,12.5317727851695,"1Fam",14364,2062,7,3,"High",7.63143166457691
"210",6,1092,11.8844890214027,"1Fam",8250,1092,6,3,"Medium",6.99576615630485
"211",5,864,11.4927227576527,"1Fam",5604,864,5,2,"Low",6.76157276880406
"212",6,1212,12.1335019526953,"1Fam",10420,1212,6,3,"Medium",7.10002716662926
"213",7,1852,12.4398712298317,"1Fam",8640,1852,7,3,"High",7.52402141520612
"214",5,990,11.9576112862317,"1Fam",13568,990,5,3,"Medium",6.89770494312864
"215",6,1392,11.9938072123631,"1Fam",10900,1392,6,3,"Medium",7.23849684089437
"216",5,1236,11.808947661697,"1Fam",10011,1236,6,2,"Low",7.11963563801764
"217",7,1436,12.2548628096996,"1Fam",8450,1436,8,3,"High",7.26961674960817
"218",4,1328,11.580584113444,"1Fam",9906,1328,8,3,"Low",7.19142933003638
"219",7,1954,12.6491546172096,"1Fam",15660,1954,8,3,"High",7.57763383260273
"220",7,1248,12.0271851854705,"TwnhsE",3010,1248,5,2,"Medium",7.12929754892937
"221",7,1498,12.230277334227,"1Fam",8990,1498,5,2,"High",7.31188616407716
"222",6,2267,12.2060726455302,"1Fam",8068,2267,8,4,"High",7.72621265050753
"223",6,1552,12.1001564199386,"1Fam",11475,1552,6,3,"Medium",7.34729970074316
"224",4,864,11.4824662574855,"1Fam",10500,864,4,2,"Low",6.76157276880406
"225",10,2392,12.8642401071941,"1Fam",13472,2392,8,3,"High",7.77988511507052
"226",5,1302,11.6262541502772,"Twnhs",1680,1302,6,3,"Low",7.17165682276851
"227",7,2520,12.5776362019627,"1Fam",9950,2520,9,4,"High",7.83201418050547
"228",6,987,11.5711943730942,"Twnhs",1869,987,5,2,"Low",6.89467003943348
"229",5,912,11.7360690162844,"1Fam",8521,912,5,3,"Low",6.81563999007433
"230",7,1555,12.16785143271,"TwnhsE",3182,1555,7,2,"High",7.34923082461333
"231",6,1194,11.9049675527463,"1Fam",8760,1194,6,3,"Medium",7.08506429395255
"232",8,2794,12.9066918409288,"1Fam",15138,2794,9,4,"High",7.93522953981691
"233",6,987,11.4563551134818,"Twnhs",1680,987,5,2,"Low",6.89467003943348
"234",5,894,11.7613468234687,"1Fam",10650,894,5,3,"Low",6.79570577517351
"235",6,1960,12.2853458264247,"1Fam",7851,1960,8,4,"High",7.58069975222456
"236",6,987,11.4019939042629,"TwnhsE",1680,987,5,2,"Low",6.89467003943348
"237",7,1414,12.1308101610296,"1Fam",8773,1414,6,3,"Medium",7.25417784645652
"238",7,1744,12.1781874420406,"1Fam",9453,1744,7,3,"High",7.46393660446893
"239",8,1694,12.6698066617623,"1Fam",12030,1694,7,3,"High",7.434847875212
"240",6,1487,11.6351430976945,"1Fam",8741,1487,7,3,"Low",7.30451594646016
"241",8,1566,12.4780063610138,"1Fam",9000,1566,7,3,"High",7.35627987655075
"242",5,866,11.6127707999399,"1Fam",3880,866,4,2,"Low",6.76388490856244
"243",5,1440,11.2772031314492,"1Fam",5000,1440,6,3,"Low",7.27239839257005
"244",6,1217,11.6952470217642,"TwnhsE",10762,1217,6,3,"Low",7.10414409298753
"245",7,2110,12.2307652581205,"1Fam",8880,2110,8,3,"High",7.65444322647011
"246",7,1872,12.3946247520748,"1Fam",10400,1872,6,3,"High",7.53476265703754
"247",6,1928,11.8277362048103,"2fmCon",9142,1928,9,4,"Low",7.56423847517049
"248",6,1375,11.8493977015914,"1Fam",11310,1375,5,2,"Medium",7.22620901010067
"249",7,1668,12.1007121298723,"1Fam",11317,1668,8,3,"Medium",7.41938058291869
"250",6,2144,12.5317727851695,"1Fam",159000,2144,7,4,"High",7.67042852219069
"251",3,1306,11.2450460198146,"1Fam",5350,1306,6,3,"Low",7.17472430983638
"252",8,1625,12.3673407931263,"TwnhsE",4750,1625,5,2,"High",7.39326309476384
"253",6,1640,12.0610468734799,"1Fam",8366,1640,6,3,"Medium",7.40245152081824
"254",6,1302,11.9703503120091,"1Fam",9350,1302,7,3,"Medium",7.17165682276851
"255",5,1314,11.8844890214027,"1Fam",8400,1314,5,3,"Medium",7.18083119904456
"256",7,2291,12.3458345879053,"1Fam",8738,2291,8,4,"High",7.7367436824535
"257",6,1728,12.2428866186529,"1Fam",8791,1728,7,3,"High",7.454719949364
"258",7,1604,12.3013828253345,"1Fam",8814,1604,8,3,"High",7.38025578842646
"259",7,1792,12.3523351525084,"1Fam",12435,1792,7,3,"High",7.49108759353488
"260",5,882,11.4824662574855,"1Fam",12702,882,4,2,"Low",6.78219205600679
"261",6,1382,12.0782392740203,"1Fam",19296,1382,6,3,"Medium",7.23128700432762
"262",8,2574,12.5281561446993,"1Fam",9588,2574,10,3,"High",7.85321638815607
"263",6,1212,11.9250351157971,"1Fam",8471,1212,6,3,"Medium",7.10002716662926
"264",5,926,11.7752897294377,"1Fam",5500,1316,6,3,"Low",6.83087423464618
"265",5,764,11.1982147201305,"1Fam",5232,764,4,2,"Low",6.63856778916652
"266",6,1422,12.0753943218881,"1Fam",12090,1422,7,3,"Medium",7.25981961036319
"267",6,1511,12.1281111040605,"1Fam",11207,1511,8,3,"Medium",7.32052696227274
"268",5,1772,12.0979304869105,"1Fam",8400,2192,8,4,"Medium",7.47986413116503
"269",5,778,11.6994050319128,"1Fam",6900,778,4,2,"Low",6.65672652417839
"270",6,1113,11.9049675527463,"1Fam",7917,1113,6,3,"Medium",7.01481435127554
"271",8,1939,12.4912515877638,"1Fam",10728,1939,8,3,"High",7.56992765524265
"272",7,1363,12.3946247520748,"1Fam",39104,1363,5,2,"High",7.21744343169653
"273",8,2270,12.5776362019627,"1Fam",11764,2270,9,4,"High",7.72753511047545
"274",6,1632,11.8422292121128,"1Fam",9600,1632,6,3,"Medium",7.39756153552405
"275",5,816,11.7320609948869,"1Fam",8314,816,5,2,"Low",6.70441435496411
"276",7,1548,12.2307652581205,"1Fam",7264,1548,5,3,"High",7.34471905414967
"277",7,1560,12.2110601870412,"1Fam",9196,1560,7,3,"High",7.35244110024358
"278",4,864,11.8565151693603,"1Fam",19138,864,4,2,"Medium",6.76157276880406
"279",9,2121,12.9367516138114,"1Fam",14450,2121,8,3,"High",7.65964295456468
"280",7,2022,12.1652506510099,"1Fam",10005,2022,8,4,"High",7.61184239958042
"281",7,1982,12.3392914893164,"1Fam",11287,1982,7,3,"High",7.59186171488993
"282",6,1262,12.1281111040605,"1Fam",7200,1262,5,2,"Medium",7.14045304310116
"283",7,1314,12.2428866186529,"Twnhs",5063,1314,6,2,"High",7.18083119904456
"284",8,1468,12.4073795022352,"1Fam",9612,1468,6,3,"High",7.29165620917446
"285",6,1575,12.096257779523,"TwnhsE",8012,1575,5,2,"Medium",7.36201055125973
"286",7,1250,12.0118809161657,"TwnhsE",4251,1250,5,2,"Medium",7.13089883029635
"287",6,1734,11.9766594812024,"1Fam",9786,1734,7,3,"Medium",7.45818615734049
"288",4,858,11.3850920934603,"1Fam",8125,858,5,3,"Low",6.75460409948796
"289",5,900,11.7117763237154,"1Fam",9819,900,5,3,"Low",6.80239476332431
"290",6,1396,11.9419443260321,"1Fam",8730,1396,7,3,"Medium",7.24136628332232
"291",8,1919,12.3597803701244,"1Fam",15611,1919,8,3,"High",7.5595594960077
"292",5,1716,11.8196746001392,"2fmCon",5687,1716,9,6,"Low",7.44775128004791
"293",5,1716,11.7829526021833,"1Fam",11409,1716,8,3,"Low",7.44775128004791
"294",7,2263,12.3673407931263,"1Fam",16659,2263,9,3,"High",7.72444664563354
"295",6,1644,12.0257490913989,"1Fam",9600,1644,7,3,"Medium",7.40488757561612
"296",6,1003,11.8670972786908,"1Fam",7937,1003,6,3,"Medium",6.91075078796194
"297",5,1558,11.9316357998284,"1Fam",13710,1558,6,4,"Medium",7.35115822643069
"298",7,1950,12.3842188309136,"1Fam",7399,1950,7,3,"High",7.57558465155779
"299",6,1743,12.0725412529057,"1Fam",11700,1743,7,3,"Medium",7.46336304552002
"300",6,1152,11.9735098722995,"1Fam",14000,1152,6,3,"Medium",7.04925484125584
"301",5,1336,11.9640010843304,"2fmCon",15750,1336,5,2,"Medium",7.19743535409659
"302",8,2452,12.4950039373824,"1Fam",16226,2452,9,4,"High",7.8046592970561
"303",7,1541,12.2307652581205,"1Fam",13704,1541,6,3,"High",7.34018683532012
"304",5,894,11.9177236840907,"1Fam",9800,894,5,3,"Medium",6.79570577517351
"305",7,3493,12.594730635322,"1Fam",18386,3493,10,3,"High",8.15851624480683
"306",8,2000,12.631013530139,"1Fam",10386,2000,8,3,"High",7.60090245954208
"307",7,2243,12.3238556811866,"1Fam",13474,2243,8,4,"High",7.71556953452021
"308",6,1406,11.4019939042629,"1Fam",7920,1406,6,3,"Low",7.24850407237061
"309",4,861,11.3205535723228,"1Fam",12342,861,4,1,"Low",6.75809450442773
"310",9,1944,12.7938593104323,"1Fam",12378,1944,8,3,"High",7.57250298502038
"311",6,1501,12.0173305209333,"1Fam",7685,1501,6,3,"Medium",7.31388683163346
"312",6,972,11.7905572015685,"1Fam",8000,972,5,2,"Low",6.87935580446044
"313",5,1118,11.6944133410156,"2fmCon",7800,1118,5,3,"Low",7.01929665371504
"314",7,2036,12.8346813049525,"1Fam",215245,2036,8,3,"High",7.61874237767041
"315",7,1641,12.0895388292742,"1Fam",9600,1641,6,3,"Medium",7.40306109109009
"316",7,1432,12.1468532858702,"1Fam",7795,1432,6,3,"Medium",7.26682734752059
